node_id,avg_hours_per_day,active_span_days,start_epoch,end_epoch
329311009,5.2507,398.43,1191447034,1225871458
329327695,23.4060,397.05,1193074284,1227379376
329329862,4.0569,500.83,1182619808,1225891762
329342223,18.7096,456.35,1188299810,1227728116
329343347,2.0596,371.40,1193749680,1225839044
329382738,19.3231,329.00,1198186420,1226612020
329395085,15.9685,468.49,1185431942,1225909128
329407161,22.1009,368.06,1195603780,1227403852
329483317,4.1855,449.72,1187292890,1226148896
329515142,8.2491,305.73,1199547709,1225962925
329521209,13.8576,465.43,1185644129,1225856964
329550490,4.4345,412.12,1192123165,1227729923
329573353,23.9830,424.69,1190908593,1227602224
329610455,8.8890,519.62,1182433967,1227329217
329616805,22.1922,317.66,1199036774,1226482731
329638551,21.5823,459.16,1187980528,1227652338
329643549,2.3085,509.92,1182365830,1226423210
329654566,18.3517,319.31,1199873777,1227461789
329661258,21.5935,384.92,1194447756,1227704958
329665258,23.9973,328.79,1199284635,1227692286
329689946,23.3509,460.00,1187757877,1227501475
329726596,23.9745,503.10,1182428768,1225896620
329748015,5.6073,329.52,1197506913,1225977510
329790870,5.3054,454.19,1186557013,1225799133
329822224,11.2173,372.07,1193693768,1225840842
329852306,3.2575,345.79,1196197881,1226073876
329853333,23.5590,397.49,1192148868,1226491701
329887449,12.2306,407.44,1191501336,1226704382
329921722,13.0696,322.03,1198022966,1225846127
329948359,23.3887,451.61,1188664901,1227684341
329961999,15.3576,430.12,1190531933,1227693998
329968209,16.2739,447.47,1187278900,1225940107
329971647,18.6568,483.06,1185934988,1227671648
329984759,22.9034,336.03,1196605563,1225638907
329989442,3.6597,397.07,1191925524,1226232314
329990027,22.9136,425.62,1190921159,1227694883
330001427,8.5079,435.22,1189309266,1226912212
330013794,22.1924,408.16,1190584136,1225848803
330021309,23.4119,492.15,1185191115,1227713267
330023638,13.3311,443.99,1188270492,1226630820
330032903,6.4781,389.22,1192192522,1225821545
330038505,17.7947,363.96,1196087529,1227533476
330055505,19.5275,523.83,1182471608,1227730125
330083029,13.6830,371.99,1193641212,1225781529
330088620,23.7412,327.95,1199369157,1227704454
330099187,4.7052,360.77,1195987468,1227157923
330118888,23.6149,432.01,1188390973,1225716239
330138063,7.6262,513.34,1182607144,1226959933
330143747,10.6353,309.24,1199102713,1225821361
330155847,15.7927,306.71,1201223797,1227723320
330158486,13.8105,349.68,1197515555,1227727749
330159348,22.3741,517.56,1182603570,1227320819
330165619,13.9546,409.82,1190740024,1226148325
330174302,6.9580,327.23,1199385873,1227658300
330189226,12.5501,584.58,1177214639,1227722769
330223342,11.7580,328.08,1198176908,1226522957
330230962,4.1839,372.92,1193704672,1225924720
330232541,16.0326,479.04,1185371640,1226760534
330243541,15.8746,332.80,1196978570,1225732127
330262886,13.5799,321.19,1199970348,1227721067
330298309,23.9264,396.00,1193333094,1227547331
330307746,20.6099,326.63,1197825748,1226046281
330333897,14.8483,359.61,1194883151,1225953357
330356844,23.0160,347.94,1197603327,1227665206
330361359,3.0968,405.15,1193518733,1228523346
330389488,9.4627,345.23,1196840258,1226668370
330402646,18.8193,465.80,1187442903,1227687938
330406408,2.0047,442.03,1189238608,1227430178
330414819,8.5915,388.46,1194123460,1227686402
330473186,22.6601,409.90,1192119441,1227534370
330517494,8.7181,342.90,1196256061,1225882538
330525323,17.3745,300.96,1202018720,1228021393
330539893,5.1665,327.25,1198101284,1226375886
330543859,20.3823,355.00,1196886369,1227558540
330559645,21.3123,492.42,1185193091,1227737915
330573947,6.4676,463.96,1186643640,1226729557
330588464,13.1462,347.69,1197638386,1227679207
330598434,16.5395,466.88,1187230272,1227568825
330608079,10.5164,481.81,1186088613,1227717132
330616928,22.8909,443.81,1187467642,1225812827
330635848,3.3261,424.87,1189153344,1225862124
330670246,6.5130,384.02,1192639762,1225819015
330686995,20.5541,443.58,1189409655,1227735068
330687015,1.8628,402.67,1191952426,1226742958
330726981,23.4371,436.54,1189886307,1227602972
330749496,22.0965,468.73,1186020514,1226518608
330751416,15.7386,395.04,1191804983,1225936068
330760984,22.9154,465.14,1185738163,1225926350
330773041,1.9916,454.35,1187284017,1226539736
330785713,10.5242,316.81,1200307080,1227679595
330796029,13.4352,394.89,1193505847,1227624537
330802893,21.0483,464.90,1187565297,1227732412
330803681,18.6503,304.58,1201394200,1227709970
330807397,10.3412,407.29,1190999892,1226190143
330830598,21.6517,447.52,1187075523,1225741270
330846569,4.6648,322.89,1198016210,1225913993
330850617,23.2774,385.68,1194381376,1227703710
330863731,20.3081,438.30,1189888595,1227758009
330916191,12.6829,387.37,1193904708,1227373650
330918537,19.4944,349.49,1197386257,1227581865
330919950,10.9714,389.03,1192802135,1226413945
330934747,16.6767,420.65,1189554728,1225899081
330957607,22.5388,473.44,1186628666,1227533510
331008217,14.9497,347.21,1197743469,1227742812
331014219,22.3165,388.32,1193909072,1227459608
331017006,19.5166,393.30,1191934108,1225914934
331038592,20.6773,352.27,1197119523,1227555816
331104367,3.9058,429.04,1188841589,1225910619
331109620,9.4684,402.86,1191626992,1226433920
331132293,19.9585,391.88,1191931506,1225789776
331136610,8.2376,324.82,1199655580,1227720247
331140578,21.4982,436.34,1190047029,1227746542
331163866,1.4128,316.62,1198762713,1226118864
331166047,3.2522,300.70,1200394297,1226374752
331218465,22.6925,438.26,1189819389,1227685185
331220023,22.3949,394.65,1193617154,1227715036
331287008,23.0640,444.49,1189364445,1227768492
331288139,9.9721,381.98,1194536160,1227539384
331357924,23.9819,390.04,1193853275,1227552765
331363110,4.1615,410.12,1191271194,1226705518
331382280,23.6337,467.11,1187206233,1227564533
331386437,17.5725,383.68,1194303269,1227453528
331406226,7.9978,421.00,1191380976,1227755049
331410332,15.7648,333.22,1198951527,1227741565
331438409,18.6036,375.23,1193433823,1225853585
331443593,9.7144,361.49,1195242490,1226475058
331448510,17.4550,381.91,1192824320,1225821410
331450034,3.4244,495.98,1185052716,1227905320
331454028,11.0736,360.21,1194722756,1225845205
331459023,10.3975,403.38,1191495851,1226347839
331465407,14.8044,441.44,1191672014,1229812156
331473160,19.3528,438.76,1188967660,1226876493
331474579,22.1860,366.70,1195949959,1227633096
331476522,5.4638,341.93,1198187535,1227730367
331488937,11.2881,373.21,1195463300,1227708510
331494160,23.3785,335.95,1198658666,1227685159
331551774,2.1495,342.97,1199455328,1229087824
331555753,8.2537,484.78,1185821540,1227706521
331581073,10.1218,352.97,1195322783,1225819223
331583435,7.9556,490.08,1185275415,1227618178
331638083,6.7439,412.16,1190256335,1225867271
331643105,17.3193,324.91,1199565624,1227637502
331697362,23.4469,410.14,1190332247,1225768386
331730551,4.8565,416.24,1190418942,1226382431
331780686,8.2872,475.40,1186616586,1227691562
331790849,21.7702,466.14,1187352454,1227626879
331804185,1.9003,317.56,1198462778,1225900049
331833085,22.1424,460.55,1187943724,1227734987
331871088,5.8092,392.38,1193751347,1227652644
331874516,19.8134,311.60,1198933651,1225856284
331883645,22.1666,380.35,1194852450,1227715000
331887781,20.2896,362.25,1194244565,1225542563
331889621,3.4549,300.02,1201115218,1227036706
331911687,1.0362,322.38,1201355461,1229209383
331916872,7.3482,524.11,1182383677,1227666466
331963050,12.0183,425.26,1189024900,1225767012
331967610,6.5730,319.84,1198850957,1226484961
331970610,22.0919,375.94,1195258053,1227739556
332008622,21.9477,317.28,1200298746,1227711842
332021653,18.9512,521.96,1182547696,1227645396
332022967,23.4386,357.30,1195447015,1226318046
332042862,15.1204,306.17,1199645434,1226098908
332053934,21.3751,394.01,1191517992,1225560851
332065014,23.9950,335.02,1198394539,1227340671
332092744,2.6661,397.61,1192210141,1226563692
332096004,18.5194,502.39,1182403004,1225809776
332140026,17.1687,550.09,1177934739,1225462496
332143360,23.9366,515.67,1182864712,1227418629
332152270,5.8368,329.08,1200892504,1229324804
332175733,5.2494,321.83,1198955153,1226761536
332199799,20.8504,314.29,1198587396,1225742038
332239424,23.0234,406.74,1190678450,1225821047
332265335,6.2885,341.88,1198191590,1227729842
332296069,23.5542,443.07,1189116101,1227397254
332319600,2.7165,315.20,1200250843,1227484186
332323843,5.4188,498.35,1184631750,1227689217
332350229,21.9554,438.74,1189715534,1227622532
332353939,7.0760,310.94,1199359236,1226224256
332355454,3.0247,381.54,1192881930,1225847031
332387246,22.4877,387.12,1194311039,1227758087
332414740,20.2009,381.34,1194717706,1227665467
332427747,9.2113,404.97,1190911362,1225901168
332438567,6.0935,475.00,1186775769,1227815758
332474445,12.5655,313.95,1200591054,1227716193
332487285,17.8386,478.58,1185147981,1226497659
332495153,21.4086,332.99,1197904800,1226675001
332583148,23.0792,377.90,1194944646,1227595040
332584708,13.3116,471.13,1186844500,1227549706
332588089,18.8492,316.38,1200369155,1227704778
332589623,21.7705,546.89,1180325173,1227576306
332612558,1.7265,519.73,1182813941,1227718742
332640638,9.2731,365.40,1195995162,1227565474
332654114,6.0750,347.89,1197578526,1227636073
332657888,17.4937,377.76,1198255545,1230894436
332661644,22.6542,347.56,1197482035,1227511106
332670685,22.2768,328.71,1198345792,1226746191
332674383,2.0928,485.47,1185736064,1227681097
332683938,16.1524,327.02,1199435837,1227690447
332687347,8.0166,335.20,1198856135,1227817065
332754185,7.7832,385.71,1194241790,1227567540
332773568,8.2521,365.10,1195229077,1226773645
332781262,8.2695,414.18,1192094421,1227879845
332783210,1.9325,326.15,1199285893,1227464946
332795010,2.9204,417.47,1189780630,1225850016
332808679,18.2319,517.16,1182973774,1227656158
332818370,11.5086,313.25,1200587469,1227652327
332855459,19.6423,373.33,1195322797,1227578260
332898567,22.1277,359.41,1196644959,1227697588
332925643,16.7754,353.30,1197518842,1228043559
332943468,1.2848,329.27,1197914471,1226363019
332951680,3.2829,326.44,1199497926,1227702637
332964851,3.7797,487.29,1187972412,1230074106
332969780,16.7899,464.11,1186167546,1226266378
332983999,13.3413,548.08,1180309267,1227663502
332991958,5.5717,431.17,1188570652,1225823520
333010088,1.1273,374.24,1195923958,1228258116
333022154,10.3960,437.75,1190044949,1227866334
333025764,23.7506,486.04,1185624717,1227618905
333026552,23.9745,453.95,1188497556,1227718549
333035447,17.4748,368.98,1194812080,1226691773
333038606,16.9230,448.97,1188945964,1227736894
333050419,7.5489,418.85,1189656721,1225845098
333071243,10.6754,437.03,1190569616,1228329321
333080493,17.0880,335.37,1197340838,1226316717
333108562,23.3915,344.04,1197955840,1227680518
333139760,9.3270,302.80,1200542783,1226704745
333169597,7.4184,322.66,1198892579,1226770686
333196863,6.1960,314.24,1198708071,1225858802
333201770,19.9053,391.10,1193787772,1227578416
333208654,15.3767,363.03,1196281637,1227647254
333220845,22.0499,356.20,1196859831,1227635210
333228659,3.9222,339.94,1196047128,1225418013
333257393,23.9933,303.88,1201297973,1227553268
333283289,23.8547,476.83,1185899854,1227097594
333296667,15.6682,498.82,1182462825,1225560772
333334173,9.3165,349.30,1197712850,1227892733
333336167,12.1764,393.86,1193151174,1227180847
333340191,22.9394,363.13,1194451680,1225825936
333354437,17.1944,447.31,1189043263,1227690607
333386619,12.8311,445.49,1187402394,1225892388
333408282,13.7994,349.69,1197393051,1227606357
333426017,2.4808,422.80,1189868619,1226398515
333453581,22.7555,406.16,1192618325,1227710621
333476135,23.3396,449.37,1188748238,1227573655
333478960,20.5172,300.28,1200623762,1226567869
333484117,2.2417,409.96,1192337246,1227757913
333503391,6.1815,339.36,1196510420,1225831313
333531215,23.9953,560.09,1179169642,1227561316
333549298,1.4015,385.02,1192608022,1225873649
333552316,20.3187,481.99,1185996296,1227640002
333558176,7.4500,364.49,1194310460,1225802779
333563752,13.5238,348.53,1196211370,1226324215
333566665,23.7721,377.02,1195190782,1227765090
333567265,5.6277,405.18,1192679577,1227687286
333571763,19.2630,405.44,1192000028,1227030024
333588262,4.3125,323.19,1198602988,1226526447
333596821,17.5647,444.10,1189247269,1227617409
333600156,2.1018,416.66,1190689878,1226689082
333605828,14.1224,320.40,1199970711,1227653606
333617383,20.3233,460.52,1186089149,1225877890
333620100,14.0281,425.84,1194262838,1231055509
333630182,2.3668,335.08,1198687643,1227638482
333633621,5.6461,373.09,1193702613,1225937650
333648305,11.3349,453.89,1188372575,1227588891
333650650,19.3230,440.77,1190003725,1228086670
333650891,12.5769,369.90,1193858573,1225817935
333657808,1.5367,306.32,1201297291,1227763236
333680237,14.7116,371.96,1195463015,1227600487
333693978,3.7029,359.05,1194914876,1225937053
333704501,20.3304,308.03,1200863752,1227477624
333758695,22.0882,465.67,1185662365,1225896502
